sessionid,participantId,paper,questionId,answer,isCorrect,rationale
-w3AvKVnaBWV,P01,paper4,p4q6,"Basically, even if someone is motivated, like wanting good results or avoiding mistakes, they still might not think critically if they don’t have the skills to evaluate or fix the AI output. So it tends to break down when ability is low, even if motivation is there.",1,Explains interaction + breakdown condition clearly.
-w3AvKVnaBWV,P01,paper4,p4q2,"The paper asks when and how people actually do critical thinking with GenAI, and also when and why GenAI changes the effort needed to do it. One is about behavior, while the other focuses more on effort and perception.",1,Clearly distinguishes enaction vs effort.
-w3AvKVnaBWV,P01,paper4,p4q8,"The main barriers are difficulty verifying outputs, not having enough domain knowledge, and struggling to improve AI responses. The most common one people mentioned was difficulty improving the responses, especially when the topic was unfamiliar.",1,Identifies barriers and correctly states most common one.
-w3AvKVnaBWV,P01,paper4,p4q10,"They use “stewardship” to emphasize that the human is still responsible for the final outcome, not the AI. It implies that accountability stays with the user, since they are the one overseeing and making final decisions.",1,Explicitly states accountability remains with human.
-w3AvKVnaBWV,P01,paper4,p4q4,"The paper suggests effort shifts more toward generating ideas and content, with less focus on evaluation. This means knowledge workers take on more of a creator role rather than checking AI outputs.",0,Incorrect direction of effort shift and wrong role.
-w3AvKVnaBWV,P01,paper5,p5q4,"For tabular data, XAI didn’t really improve performance compared to humans alone, but for text data there was a clear improvement. The authors suggest this might be because text tasks are more natural for people to reason through, so they can better use explanations.",1,Correct outcomes + explanation.
-w3AvKVnaBWV,P01,paper5,p5q2,"They compare human vs XAI performance, and also AI vs XAI performance. Since XAI doesn’t do better than AI alone, it means the gains are really from having AI support, not necessarily from explanations themselves.",1,Both comparisons + correct interpretation.
-w3AvKVnaBWV,P01,paper5,p5q7,The two mechanisms are helping users understand the task better and making them trust the AI less when it’s wrong. The review mainly finds stronger evidence for better understanding rather than changes in trust.,0,Mechanisms incorrect and dominant one wrong.
-w3AvKVnaBWV,P01,paper5,p5q9,"Some studies like Bansal et al. and van der Waa et al. show explanations make people more likely to follow AI, even when it’s wrong, while others like Fügener et al. show explanations can actually reduce reliance. So the effect is kind of mixed depending on the setup.",1,Both sides + named studies.
-w3AvKVnaBWV,P01,paper5,p5q10,They’re concerned that explanations might overwhelm users with too much information and make decision-making harder. This comes from findings that explanations don’t always improve performance compared to AI alone.,0,Ethical concern is incorrect; does not match manipulation/over-reliance finding.
-w3AvKVnaBWV,P01,paper6,p6q2,"They predicted reward sensitive students might either use ChatGPT more to get better grades or avoid it to protect their grades. The second was supported, since these students avoid ChatGPT due to fear of penalties or academic risk.",1,"Both hypotheses, supported result, and reasoning clearly stated."
-w3AvKVnaBWV,P01,paper6,p6q7,"Mediation was supported for workload and time pressure across all outcomes, and for reward sensitivity on procrastination and memory loss but not performance. It was not supported at all for sensitivity to quality.",1,Correct mappings and mediation directions.
-w3AvKVnaBWV,P01,paper6,p6q4,"They first used expert review to reduce 12 items to 10, then used EFA and removed items with low loadings and communalities. The dropped items were “I can’t think of studies without ChatGPT” and “Use of ChatGPT is common nowadays.”",1,"Includes process, criteria, and specific dropped items."
-w3AvKVnaBWV,P01,paper6,p6q9,Authors suggest managing workload and deadlines better and encouraging students to use ChatGPT as a support tool instead of a shortcut. This is because higher workload and time pressure were shown to increase ChatGPT usage.,1,Recommendation explicitly tied to workload/time pressure finding.
-w3AvKVnaBWV,P01,paper6,p6q10,The paper argues that overuse reduces cognitive effort and active learning. This weakens memory formation since students rely on AI instead of engaging mentally with the material.,1,Mechanism chain clearly explained.
-w3AvKVnaBWV,P01,cross_paper,cpq2,"Cognitive effort shifts from generating answers to evaluating AI outputs. This happens because AI provides the initial response, so users spend more time checking rather than creating.",1,Valid shift + explanation.
-w3AvKVnaBWV,P01,cross_paper,cpq4,Lower effort can be harmful when users accept AI answers without verifying them. This leads to mistakes since they’re not engaging enough to catch errors.,1,Clear harm + mechanism.
-w3AvKVnaBWV,P01,cross_paper,cpq6,"One factor is how confident users feel in their own ability to judge the answer. If they lack knowledge or confidence, they’re less likely to verify AI outputs.",1,Factor + direction clearly stated.
-w3AvKVnaBWV,P01,cross_paper,cpq8,"People rely on AI because explanations or outputs can increase their trust and confidence in it. One paper showed that explanations can make users follow AI more, even when it’s wrong becauase it seems more legitimate.",1,Includes explanation + explicit link to XAI acceptance finding.
-w3AvKVnaBWV,P01,cross_paper,cpq10,"AI improves performance by reducing effort and helping users complete tasks faster, but it creates risks when people rely on it too much and stop verifying outputs. This can lead to worse outcomes like errors, memory loss, or weaker learning over time.",1,"Includes benefit, risk, and multiple concepts."
2-YjQNYBYBqC,P13,paper4,p4q10,"Stewardship fits better than collaboration or supervision since humans mainly guide and own the final output, not partner equally with AI. It means accountability stays fully with the person, not shared.",1,Explicitly states accountability remains with human.
2-YjQNYBYBqC,P13,paper4,p4q4,"The shift moves effort from creating content to overseeing and judging AI work for Analysis, Synthesis, and Evaluation. This makes knowledge workers act more like stewards who guide AI instead of doing all the heavy lifting.",1,Correct shift to oversight/stewardship.
2-YjQNYBYBqC,P13,paper4,p4q2,"RQ1 asks when and how workers see themselves doing critical thinking with GenAI. RQ2 asks when and why GenAI makes critical thinking easier or harder. RQ1 focuses on if/when it happens, RQ2 on effort changes.",1,Clearly distinguishes enaction vs effort.
2-YjQNYBYBqC,P13,paper4,p4q8,"Barriers include lacking domain knowledge, not knowing how to tweak AI responses, and AI being hard to steer. Most participants said inspecting AI outputs was the biggest problem.",0,Incorrect most common barrier (should be improving responses).
2-YjQNYBYBqC,P13,paper4,p4q6,"Motivation gets people wanting to think critically, but ability barriers stop them from actually doing it. Critical thinking breaks down most when folks are motivated but can't verify info, fix AI outputs, or have time pressure.",1,Explains interaction + breakdown condition clearly.
2-YjQNYBYBqC,P13,paper5,p5q9,"The paper checks XAI vs human-only decisions, and XAI vs plain AI advice. XAI beats humans, but matches plain AI, so you can't claim explanations add real extra value.",0,Answers wrong question (describes comparisons instead of contrasting findings).
2-YjQNYBYBqC,P13,paper5,p5q10,"Concern is explanations might blind people to question bad AI. Comes from finding that XAI often just ups acceptance, not smart reliance.",1,Correct ethical concern and linked to increased acceptance.
2-YjQNYBYBqC,P13,paper5,p5q4,Tabular data: no real XAI gain. Text data: big XAI boost. Authors say text feels more natural for humans to judge than tables.,1,Correct outcomes + explanation.
2-YjQNYBYBqC,P13,paper5,p5q2,"Some studies like Fugener et al. say confidence info cuts AI following. Others like Bansal et al. and van der Waa say explanations make people accept AI more, even wrong ones.",0,Answers wrong question (describes study comparisons incorrectly placed).
2-YjQNYBYBqC,P13,paper5,p5q7,The mechanisms are boosting AI acceptance or calibrating trust better. Review shows stronger proof for just raising acceptance of AI advice.,1,Correct mechanisms and dominant one.
2-YjQNYBYBqC,P13,paper6,p6q10,"They say too much ChatGPT kills memory because it cuts cognitive effort and active learning. Students skip mental work, so memory weakens over time.",1,Mechanism chain clearly explained.
2-YjQNYBYBqC,P13,paper6,p6q2,Competing ideas: rewards sensitivity either boosts or cuts ChatGPT use. Negative one won—worried students avoid it to dodge bad grades/cheating risk.,1,"Both hypotheses, supported result, and reasoning clearly stated."
2-YjQNYBYBqC,P13,paper6,p6q4,"Started with 12 items, experts cut to 10 for content fit. EFA dropped items 4 and 9 for low loadings, left 8 solid ones.",1,"Includes process, criteria, and specific dropped items."
2-YjQNYBYBqC,P13,paper6,p6q9,"Workload and time pressure push students to use ChatGPT more. Recommendation is teachers should ease workload and deadlines, and push ChatGPT as a helper not a cheat.",1,Recommendation explicitly tied to workload/time pressure finding.
2-YjQNYBYBqC,P13,paper6,p6q7,"ChatGPT mediated workload/time pressure to all outcomes (procrastination, memory loss, grades). Rewards sensitivity mediated to procrastination/memory only, not grades. Quality sensitivity had no mediation.",1,Correct mappings and mediation directions.
2-YjQNYBYBqC,P13,cross_paper,cpq2,"People switch from doing tasks to checking AI work, saving effort on basics but adding review work. This happens because AI handles routine stuff fast, per critical thinking paper.",1,Valid shift + explanation.
2-YjQNYBYBqC,P13,cross_paper,cpq4,"Low effort hurts when students use ChatGPT too much under pressure, leading to procrastination and memory loss. They take shortcuts instead of learning.",1,Clear harm + mechanism.
2-YjQNYBYBqC,P13,cross_paper,cpq6,"Confidence level. if you trust AI a lot, you skip checking it. Self trust makes you verify more, from critical thinking findings.",1,Factor + direction clearly stated.
2-YjQNYBYBqC,P13,cross_paper,cpq8,High workload makes students grab ChatGPT as an easy fix. Ties to university paper where pressure drives more AI reliance.,1,Explicit link to workload finding from paper6.
2-YjQNYBYBqC,P13,cross_paper,cpq10,"AI boosts scores via quick help (student/XAI papers), but risks over-trust and weak verification (critical thinking paper), hurting skills long-term.",1,"Includes benefit, risk, and multiple concepts."
2FvA4lMHIGC6,P04,paper5,p5q10,"The ethical concern is that explanations may act as persuasive tools that increase trust in AI outputs regardless of their correctness. This concern arises from findings that explanations can increase acceptance of AI advice even when it is wrong, potentially leading to overreliance and harmful decision making.",1,Correct ethical concern and linked to increased acceptance.
2FvA4lMHIGC6,P04,paper5,p5q9,"Some studies find that explanations increase users’ acceptance of AI advice, even when it is incorrect, suggesting a persuasive effect. Other studies find that explanations have no effect or even reduce reliance, particularly when additional signals like confidence are provided. These conflicting findings demonstrate that the impact of explanations on user behavior is inconsistent and context dependent.",1,Correct contrasting findings.
2FvA4lMHIGC6,P04,paper5,p5q7,"The two mechanisms are increased acceptance of AI advice and improved calibration of reliance, meaning better ability to distinguish when to trust AI. The qualitative review finds stronger evidence for increased acceptance, indicating that explanations primarily make users more likely to follow AI recommendations rather than improving their ability to critically evaluate them.",1,Correct mechanisms and dominant one.
2FvA4lMHIGC6,P04,paper5,p5q2,"1. human performance versus XAI-assisted performance, and 2. AI-assisted performance versus XAI assisted performance. While XAI improves performance relative to humans alone, it does not significantly outperform AI without explanations. This means the observed improvement should be attributed to AI assistance in general, rather than the added value of explanations specifically.",1,Correct comparisons and interpretation.
2FvA4lMHIGC6,P04,paper5,p5q4,"The results show that XAI has negligible impact on performance for tabular data but produces significant improvements for text-based tasks. The authors explain this difference by suggesting that explanations are easier for humans to interpret and apply in text-based contexts, whereas tabular data tasks may be more complex or less intuitive, limiting the usefulness of explanations.",1,Correct outcomes + explanation.
2FvA4lMHIGC6,P04,paper6,p6q10,"The proposed mechanism is reduced cognitive effort and lack of active learning. When students rely on ChatGPT, they engage less in mental processing, which weakens memory consolidation and cognitive skills over time.",1,Mechanism chain clearly explained.
2FvA4lMHIGC6,P04,paper6,p6q4,"The reduction process involved an initial content validity review followed by exploratory factor analysis. Items were evaluated based on statistical criteria such as factor loadings and communalities, and those that did not meet thresholds were removed. Specifically, items with low loadings and poor contribution to the factor structure were dropped, resulting in a final reliable 8 item scale.",0,Missing specific dropped items (4 and 9) despite correct process.
2FvA4lMHIGC6,P04,paper6,p6q2,"The two predictions were that sensitivity to rewards would either increase ChatGPT usage, because students want better outcomes, or decrease usage, because students fear penalties. The supported hypothesis is the negative relationship, meaning reward-sensitive students use ChatGPT less. The reasoning is that these students are more concerned about grades and academic integrity, so they avoid risky or potentially unethical behaviors.",1,"Both hypotheses, supported result, and reasoning clearly stated."
2FvA4lMHIGC6,P04,paper6,p6q7,"Mediation was supported for workload and time pressure influencing outcomes like procrastination, memory loss, and academic performance through ChatGPT usage. It was also partially supported for sensitivity to rewards. However, mediation was not supported for sensitivity to quality, as it did not significantly influence outcomes through ChatGPT usage.",1,Correct mappings and mediation directions.
2FvA4lMHIGC6,P04,paper6,p6q9,The authors recommend that educators manage workload and time pressure more effectively and design tasks that require critical thinking rather than easy automation. This directly follows from the finding that high workload and time pressure increase reliance on ChatGPT suggesting that reducing these pressures can decrease overuse.,1,Recommendation explicitly tied to workload/time pressure finding.
2FvA4lMHIGC6,P04,paper4,p4q2,"1. when and how knowledge workers perceive the enaction of critical thinking when using Gen AI, and 2. when and why knowledge workers perceive changes in effort for critical thinking due to Ge nAI. The key difference is that the first focuses on observable behaviors and practices of critical thinking, while the second focuses on perceived cognitive effort and the reasons behind increases or decreases in that effort.",1,Clearly distinguishes enaction vs effort.
2FvA4lMHIGC6,P04,paper4,p4q10,"This term is used because it emphasizes that humans retain full responsibility for outcomes even when AI performs much of the task. This framing highlights that accountability does not shift to the AI system, but remains with the human, who must guide, evaluate, and take ownership of the final output.",1,Explicitly states accountability remains with human.
2FvA4lMHIGC6,P04,paper4,p4q8,"The 2 main ability barriers are difficulty inspecting or verifying AI outputs and difficulty revising prompts or improving responses. Among these, the most commonly reported barrier is the inability to effectively verify AI outputs, often due to insufficient domain knowledge or lack of confidence in evaluating correctness.",0,Incorrect most common barrier (should be improving responses).
2FvA4lMHIGC6,P04,paper4,p4q6,"Motivational factors such as improving work quality or avoiding negative outcomes encourage critical thinking, but ability barriers like lack of domain knowledge or difficulty verifying outputs can prevent it from being enacted. These interact such that even motivated users may fail to engage critically if they lack the skills to evaluate or improve AI outputs. This implies that critical thinking is most likely to break down in situations where users are motivated but lack the capability to assess correctness, especially in unfamiliar domains.",1,Explains interaction + breakdown condition clearly.
2FvA4lMHIGC6,P04,paper4,p4q4,"The authors observe that cognitive effort shifts from performing analysis, synthesis, and evaluation directly to overseeing and verifying AI generated outputs. Instead of executing these tasks themselves, workers focus more on checking accuracy, integrating outputs, and ensuring quality. This creates a new role of task stewardship, where knowledge workers guide monitor, and refine AI outputs rather than producing all content independently.",1,Correct shift to oversight/stewardship.
2FvA4lMHIGC6,P04,cross_paper,cpq2,"Cognitive effort shifts from task execution to evaluation and verification because AI automates content generation, requiring users to focus more on checking and refining outputs rather than producing them.",1,Valid shift + explanation.
2FvA4lMHIGC6,P04,cross_paper,cpq4,"Lower effort can harm outcomes in learning contexts, where reliance on AI reduces active engagement and practice, leading to weaker memory retention and poorer long-term understanding.",1,Clear harm + mechanism.
2FvA4lMHIGC6,P04,cross_paper,cpq6,"One key factor is confidence particularly confidence in AI systems, as higher confidence reduces the likelihood that users will verify outputs critically.",1,Factor + direction clearly stated.
2FvA4lMHIGC6,P04,cross_paper,cpq8,"It reduces the amount of appeared effort needed to complete a task, which makes accepting its output feel efficient and convenient. This connects directly to the critical thinking paper, which found that higher confidence in GenAI is associated with less critical thinking, suggesting that when users trust the system’s capability, they become less likely to question or verify its outputs.",1,Explicit link to paper concept (confidence/critical thinking).
2FvA4lMHIGC6,P04,cross_paper,cpq10,"AI improves performance by increasing efficiency and supporting decision-making, but it creates risks by reducing cognitive effort and encouraging overreliance. When users fail to verify outputs due to trust or convenience, errors can occur despite the performance gains.",1,"Includes benefit, risk, and multiple concepts."
3Y9tHFuB29bm,P10,paper5,p5q7,- XAI might help by making people accept AI advice more Or by helping them figure out when the AI is right vs wrong - The paper mostly finds stronger support for increased acceptance,1,Correct mechanisms and dominant one.
3Y9tHFuB29bm,P10,paper5,p5q9,"- Bansal et al., van der Waa et al. show explanations increase reliance on AI - Fugener et al. show they can actually reduce reliance - explanations don’t have a consistent effect",1,Correct contrasting findings.
3Y9tHFuB29bm,P10,paper5,p5q2,"- Compares humans vs XAI, and AI vs XAI - XAI beats humans, but not AI alone - Benefit is really from AI support, not the explanations",1,Correct comparisons and interpretation.
3Y9tHFuB29bm,P10,paper5,p5q4,- XAI improves performance for both tabular and text data - Improvement is bigger for text tasks - likely explanation is that text is easier for people to understand,1,Correct results and explanation.
3Y9tHFuB29bm,P10,paper5,p5q10,- They’re worried explanations might confuse users and lower trust in AI - This comes from the finding that explanations didn’t really improve performance much,0,Incorrect ethical concern.
3Y9tHFuB29bm,P10,paper6,p6q10,The authors suggest that excessive GPT use leads to cognitive laziness and a lack of mental exertion which are necessary for the brain to function well. They argue that by using the tool as a shortcut students miss out on active cognitive engagement and daily mental training required for memory consolidation.,1,Mechanism chain explained.
3Y9tHFuB29bm,P10,paper6,p6q9,The authors recommend that educators should reduce students academic workload and time pressure to decrease the incentive for using ChatGPT as a shortcut. This relates to findings that high workloads and tight deadlines were significant predictors that drove students toward using the tool.,1,Recommendation tied to workload/time pressure.
3Y9tHFuB29bm,P10,paper6,p6q2,One prediction was that reward sensitive students would use ChatGPT more to get better grades while the competing prediction was they would use it less for fear of getting caught. The results supported the second prediction showing a negative link between reward sensitivity and usage. The authors reason that these students are more cautious and fear that using an ethically questionable tool could jeopardize their academic integrity and grades.,1,"Both hypotheses, supported result, and reasoning clearly stated."
3Y9tHFuB29bm,P10,paper6,p6q4,The scale was reduced from 12 items to 8 through an initial content validity check and a subsequent exploratory factor analysis. Experts first dropped two items to ensure content validity leaving 10 items for testing. Then two more items were dropped because they had low factor loadings and communalities.,0,Missing specific dropped items (4 and 9).
3Y9tHFuB29bm,P10,paper6,p6q7,The paper says mediation only worked for the quality of the content because students who care about their grades used it the most. The authors basically found that things like workload and time pressure dont actually lead to more usage since students are going to use it regardless of how much work they have. So the only thing that really mattered was whether the student thought the AI could produce better quality work than they could themselves.,0,Incorrect mediation relationships.
3Y9tHFuB29bm,P10,paper4,p4q6,The authors argue that critical thinking breaks down when workers have too much motivation to finish a task quickly but lack the specific AI tools to do it. This implies that critical thinking usually fails because the software itself is too difficult to navigate not because the human lacks the skills to check the work.,0,Incorrect explanation of barriers and breakdown.
3Y9tHFuB29bm,P10,paper4,p4q4,The study found that cognitive effort for analysis and evaluation has actually decreased because the AI handles all the heavy lifting now. This creates a new role where knowledge workers basically just act as data entry clerks who feed information into the system and let it do the thinking.,0,Incorrect shift and role.
3Y9tHFuB29bm,P10,paper4,p4q2,The two research questions are about how often people use GenAI and what specific brands of AI they prefer. They differ because the first one is about the quantity of use while the second one focuses on the quality of the different AI platforms available to workers.,0,Incorrect research questions.
3Y9tHFuB29bm,P10,paper4,p4q10,The authors prefer the term stewardship because it sounds more professionalthan just saying a person is a supervisor. They argue that this term means the AI and the human are equally responsible for the final product which allows for a shared sense of accountability if the work ends up being wrong.,0,Incorrect: claims shared accountability instead of human responsibility.
3Y9tHFuB29bm,P10,paper4,p4q8,Laziness and reduced motivation,0,Incorrect barriers entirely.
3Y9tHFuB29bm,P10,cross_paper,cpq2,Cognitive effort shifts from generating content to evaluating it because workers now act as stewards who must steer the AI and verify its outputs for errors rather than creating material from scratch.,1,Correct shift explanation.
3Y9tHFuB29bm,P10,cross_paper,cpq4,"over reliance on AI where humans no longer check the output, can lead to slop entering the output pipeline.",1,Valid harm and mechanism.
3Y9tHFuB29bm,P10,cross_paper,cpq6,Whether user feels confident in the output answers.,0,"Too vague, missing direction/mechanism."
3Y9tHFuB29bm,P10,cross_paper,cpq8,easy to depend on AI with a bunch of conflicting deadlines. Eg. students.,0,No explicit link to paper concept.
3Y9tHFuB29bm,P10,cross_paper,cpq10,Risks are mainly identified to be related to human cognition and long term memory. Short term performance improvements are more about the empirical output.,0,"Too vague, missing clear dual explanation."
6ojE3t27za7h,P08,paper4,p4q8,"The largest number of participants reported difficulty improving AI outputs, especially when they could not translate their intent into better prompts or meaningful revisions",1,Correct barrier and most common.
6ojE3t27za7h,P08,paper4,p4q6,critical thinking is most likely to break down when users are motivated but lack the skills or knowledge to evaluate and refine AI outputs,1,Correct interaction explanation.
6ojE3t27za7h,P08,paper4,p4q2,"RQ1 focuses on identifying the situations and behaviors where knowledge workers actually engage in critical thinking when using GenAI. RQ2 shifts to understanding how GenAI changes the effort of those thinking processes, explaining when it becomes easier or harder and why",1,Correct research questions.
6ojE3t27za7h,P08,paper4,p4q4,"The authors observe a shift in effort from doing analysis and synthesis manually to focusing more on evaluating and integrating AI generated outputs. This creates a new role where knowledge workers act as overseers, responsible for verifying, refining, and combining AI responses rather than producing everything themselves.",1,Correct shift and role.
6ojE3t27za7h,P08,paper4,p4q10,In the paper there is a quote that states: “the responsibility and accountability for the work still resides with the human user despite the labour of material production being delegated to the GenAI tool”. This is why they stuck with stewardship.,1,Correct accountability.
6ojE3t27za7h,P08,paper6,p6q2,"from paper: These results supported hypothesis 3b instead of hypothesis 3a"". 3b is Sensitivity to rewards will be negatively related to the use of ChatGPT.",0,"Only states result, missing competing hypothesis."
6ojE3t27za7h,P08,paper6,p6q10,I don't think the paper talks about memory loss specifically,0,Incorrect: denies memory loss mechanism.
6ojE3t27za7h,P08,paper6,p6q7,Mediation was supported for antecedents like workload and time pressure influencing outcomes such as reduced academic performance and increased memory loss through higher ChatGPT usage. Not supported for factors like intrinsic motivation or learning orientation,1,Mostly correct mediation description.
6ojE3t27za7h,P08,paper6,p6q9,don't assign as much work and remove due dates,1,Correct recommendation.
6ojE3t27za7h,P08,paper6,p6q4,Wasn't able to follow this method,0,No method description.
6ojE3t27za7h,P08,paper5,p5q9,"Bansal et al., found that explanations increase acceptance of AI advice by improving understanding and trust, leading users to rely more on the system. Other studies found the opposite, where explanations either had no effect or even reduced effective decision-making by causing overreliance or cognitive shortcuts, with users following AI without deeper evaluation",1,Correct contrasting findings.
6ojE3t27za7h,P08,paper5,p5q10,"The authors warn that explanations can quietly make people more likely to trust and follow AI, even when the AI is wrong. This concern comes from findings that explanations boost acceptance without reliably improving accuracy, creating a risk of confident but flawed decisions.",1,Correct ethical concern.
6ojE3t27za7h,P08,paper5,p5q4,"For tabular data, there was no significant improvement from XAI, while text data showed a clear positive effect on performance. The authors suggest this difference may be due to task characteristics, where text-based tasks are more intuitive,",1,Correct results.
6ojE3t27za7h,P08,paper5,p5q2,"Since XAI does not outperform AI alone, the improvement over humans should be interpreted as the benefit of AI assistance in general, not explanations specifically",1,Correct interpretation.
6ojE3t27za7h,P08,paper5,p5q7,The two mechanisms are increasing acceptance of AI advice and improving appropriate reliance (better distinguishing when AI is correct vs. incorrect),1,Correct mechanisms.
6ojE3t27za7h,P08,cross_paper,cpq2,Cognitive effort shifts away from generating and processing information toward evaluating and verifying AI outputs,1,Correct shift.
6ojE3t27za7h,P08,cross_paper,cpq4,"Lower effort can harm outcomes when users rely on AI outputs without properly verifying them, leading to acceptance of incorrect or misleading information. This happens because reduced effort discourages deeper evaluation, so errors go unnoticed and directly impact the final decision",1,Correct harm.
6ojE3t27za7h,P08,cross_paper,cpq6,"User's trust in AI. When users perceive the AI as reliable, they are less likely to critically check its responses, increasing the chance of unverified errors influencing decisions",1,Correct factor.
6ojE3t27za7h,P08,cross_paper,cpq8,"overreliance on AI because may happen ebecuase it reduces cognitive effort, and this is reinforced by findings that explanations increase acceptance of AI outputs, making users less likely to question them even when errors are present",1,Correct explicit linkage.
6ojE3t27za7h,P08,cross_paper,cpq10,"AI can improve performance by reducing cognitive effort and helping users generate or process information more efficiently, but it also creates risks because this same reduction in effort can lead to over-reliance and less verification, allowing errors to go unnoticed and negatively impact outcomes",1,Correct dual explanation.
